objectid,description,date,creator,title,language,location,citation,subject,Automatic Tags,abstract_note,publication_title,isbn,issn,doi,url,pages,issue,volume,number_of_volumes,publisher,Rights,Type,Archive,Archive Location,Extra,File Attachments,Link Attachments,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
db0566,Journal Article,2010,"Jaramillo-Vázquez, Alejandra",DISCURSOS DE AUTORIDAD A TRAVÉS DE LAS EXHIBICIONES DE MUSEOS INTERACTIVOS: SOBRE LA EXPOSICIÓN CAMBIO CLIMÁTICO,es,,,Climate change; Hegemony; cambio climático; exhibiciones; exhibition; guías.; guides.; Hegemonía; museos; museum,,"Este artículo presenta el análisis de la exposición temporal Cambio Climático, desde un enfoque antropológico. El objetivo es abrir la reflexión sobre la construcción de discursos de autoridad o hegemónicos que se construyen desde la óptica del museo y se socializan a través de las exhibiciones y participación de los guías con los visitantes. Desde la perspectiva teórica de Gramsci acerca del concepto de hegemonía, se analizan a la exposición temporal y el papel de los guías como constructores de dichos discursos de autoridad. In this article, I examine the temporary exhibition of Global Warming, from an anthropological perspective. The objective is to reflect the construction of authority or hegemonic discourses done by the museum, which are socialized via exhibitions and the participation of guides with visitors. Through the theoretical perspective of Gramsci about the concept of hegemony, I examine the temporary exhibition and the role of guides as constructors of authority discourses as well.",Iberoforum. Revista de Ciencias Sociales,,,,https://www.redalyc.org/articulo.oa?id=211014857007,127-148,9,V,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0567,Journal Article,2017,"Sisol, Eunice; Arias V., Alexander; Sáez Sáez, Vidal","Información, difusión y articulación. Una propuesta para abordar el cambio climático en Venezuela",es,,,Sociedad; Society; política.; decision; decisión; encuentro; estrategia; meeting; politics.; strategy,,"En gran cantidad de países del mundo se evidencian suficientes esfuerzos del interés  que  hay  en  la  sociedad  sobre  el  cambio  climático,  y  de  las  diversas  acciones  que  se   llevan adelante, el encuentro de la COP21, realizada en París en el año 2015 es muestra  concluyente  de  ello.  Por  otra  parte,  en  Venezuela  se  tienen  numerosos  trabajos  de   investigación,  instituciones  interesadas  e  iniciativas  gubernamentales  que  abordan   el  tema  de  los  efectos  del  cambio  climático,  pero  contradictoriamente  a  la  vez  un   gran  número  de  investigadores  que  trabajan  en  el  tema  perciben  una  brecha  entre   estas iniciativas y su acción, impacto o interés en el resto de la sociedad venezolana.  El objetivo de este trabajo es generar lineamientos que promuevan un acercamiento  entre los investigadores (del cambio climático) y los actores políticos (gestores de la  cosa  pública)  como  un  mecanismo  alterno  para  ampliar  el  uso  de  la  información   en  cambio  climático  y  su  difusión.  Como  parte  de  la  metodología  se  recopiló  la   información de lo hecho en cambio climático por parte de los investigadores, entes  públicos,  privados  e  individuales  en  Venezuela.  Luego,  se  realizaron  consultas  a   varios  expertos  conocedores  del  tema,  que  además  tienen  roces  con  los  actores   públicos, todo ello con la finalidad de diseñar un mecanismo de difusión que hagan  peso en las acciones que se ejecutan en la sociedad venezolana, para crear bases que  permitan redimensionar las magnitudes de las consecuencias del cambio climático,  y  que  seguramente  incidan  en  la  dinámica  social  y  ambiental  del  país  en  el  corto,   mediano y largo plazo. In  many  countries  of  the  world  they  have  sufficient  evidence  of  interest  there  is  in   society on climate change, and the various actions that are carried out, the meeting of  the cop21, held in Paris in 2015 is indicative of those efforts. Moreover, in Venezuela  they  will  have  numerous  research,  interested  institutions  and  some  government   initiatives  that  address  the  effects  of  climate  change,  but  also  those  who  work  in   the subject feel a big gap between these initiatives and action, impact or interest in  the  rest  of  Venezuelan  society.  The  aim  of  this  work  is  to  generate  guidelines  that   promote  a  rapprochement  between  researchers  (of  climate  change)  and  political   actors  (managers  of  public  affairs).  Then  the  strategy  is  to  spread  and  supply  of   existing information (through meetings, workshops, discussion) on climate change  between the aforementioned social actors that make weight in the actions executed  Venezuelan society to create foundations to resize magnitudes the consequences of  climate change, and will surely impact on the social and environmental dynamics of  the country in the short, medium and long term.",Terra. Nueva Etapa,,1012-7089,,https://www.redalyc.org/articulo.oa?id=72155359005,107-126,54,XXXIII,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0568,Journal Article,2008,"Castillo Tzab, Delfina de los Ángeles; Martínez López, José Samuel; Batllori Sampedro, Eduardo Adolfo",Los medios de comunicación masiva ante los fenómenos naturales,es,,,medios de comunicación; social networks; mass media; redes sociales; comunidades rurales.; fenómenos naturales; huracanes; hurricanes; natural phenomena; rural of communities.,,"Este documento es parte de una investigación que se realizó posterior al huracán Isidoro, que impactó el sureste mexicano en el 2002. En esta ocasión, se muestra la trascendencia que los medios de comunicación pueden llegar a tener en comunidades rurales en momentos de desastres naturales. Lo cual manifiesta el poder y credibilidad que mantienen los medios, no sólo como informantes sino como difusores e instructores. This document is part of an investigation that was subsequent to make the Isidor hurricane that impact the Mexican Southeastern in the 2002. In this occasion, is the importance that the mass media can get to have in rural communities at moments of natural disasters. This shows the power and credibility that maintain means not only like informants but like diffusers and instructors.",Espacios Públicos,,1665-8140,,https://www.redalyc.org/articulo.oa?id=67602113,240-254,21,11,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0569,Journal Article,2014,"Fernández Reyes, Rogelio",Infoxicación en la comunicación del cambio climático. Mitigación y adaptación,es,,,Cambio climático; Climate Change; Mitigation; Adaptación.; Adaptation.; Mitigación; Medios de comunicación; Focal Points; Information overload; Infoxicación; Mass Media; Punto focal,,"El desarrollo tecnológico y científico en el último siglo ha generado una explosión en el volumen de conocimientos que fluyen a través de las nuevas tecnologías. Supone uno de los fenómenos más característicos del periodismo actual. Una de las consecuencias es la infoxicación que se puede llegar a producir por la sobrecarga de información. En el presente artículo se analiza la infoxicación en el cambio climático a través de un análisis de contenido del punto focal de un incremento de temperatura media mundial en torno a 2º C con respecto a los niveles preindustriales en El País. Las categorías que se analizan son: Protagonismo del punto focal (Se aborda de manera prioritaria o Se aborda de manera secundaria), Cómo se aborda (A propósito de lo que ocurre, A propósito de lo que se hace, A propósito de lo que se dice) y Respuestas (Mitigación, Adaptación). Como conclusiones observamos la presencia de infoxicación en la temática en torno al incremento de temperatura media mundial de 2º C en la predominancia del discurso de “lo que se dice” por encima de “lo que se hace” y de “lo que ocurre”; y la prevalencia del tratamiento de la adaptación sobre la mitigación. Como propuesta de desinfoxicación, desde un periodismo en transición, sugerimos apoyar el valor del punto focal de 350 ppm de CO2; la prevalencia de tratar “lo que se hace” y “lo que ocurre” sobre “lo que se dice”; y propiciar un equilibrio en el volumen de tratamiento de la adaptación y la mitigación. The scientific and technological development in the last century has produced an explosion in the volume of knowledge that flow through new technologies. It involves one of the most characteristic phenomena of journalism nowadays. One consequence is the information overload. In this paper we analyze the information overload on climate change through a content analysis of the focal point of a global average temperature increase of about 2 ° C above pre-industrial levels in the newspaper El País. The categories analyzed are: Prominence of the focal point (priority or secondary), How is addressed (what happens, what is done, what is said) and Answers (mitigation, adaptation). In conclusion we note the presence of information overload on the subject around the increase in global average temperature of 2 ° C in the dominance of the discourse of “what is said” above “what is done” and “what happens”; and the prevalence of addressing adaptation to mitigation. From journalism in transition, we suggest supporting the focal point value of 350 ppm of CO2; the prevalence of trying to “what is done” and “what happens” over “what is said”; and bring about a balance in the treatment volume adaptation and mitigation.",Ámbitos. Revista Internacional de Comunicación,,1139-1979,,https://www.redalyc.org/articulo.oa?id=16832539010,,26,,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0570,Journal Article,2016,"Porras Contreras, Yair Alexander",Representaciones sociales de la crisis ambiental en futuros profesores de química,es,,,Representación social. Crisis ambiental. Construcción social. Ambiente.; Social representation. Environmental crisis. Social construction. Environment.,,"La crisis ambiental, como crisis civilizatoria, emerge de las interacciones poco efectivas en - tre los subsistemas biofísicos, sociales y culturales, constituyéndose en un riesgo global que trasciende  el dominio material, para posicionarse en una categoría que involucra el significado y el sentido de la  realidad. De esta manera, las ideas, creencias y concepciones que elaboran los profesores en formación  inicial sobre la crisis ambiental, se convierten en derroteros desde los cuales se construye su saber pe - dagógico y su praxis educativa en relación con el ambiente. El  propósito del presente artículo consiste  en reconocer las representaciones sociales de la crisis ambiental, que circulan en un grupo de profesores  en formación inicial de la Licenciatura en Química de la Universidad Pedagógica Nacional de Colombia  (UPN), tomando como referente el enfoque estructural de la representación social. The environmental crisis as a crisis of  civilization emerges from the ineffective interactions  between biophysical, social and cultural subsystems, becoming a global risk that transcends the material  domain,  to  be  positioned  in  a  category  that  involves  meaning  and  sense  of   reality.  Ideas,  beliefs  and   concepts that are developed by preservice teachers on the environmental crisis, become paths on which  their pedagogical knowledge and educational practice in relation to the built environment develops. The  purpose of  this article is to recognize the social representations of  the environmental crisis, circulating  in a group of  preservice chemistry teachers at the National Pedagogical University of  Colombia, taking  as reference the structural approach of  social representation.",Ciência & Educação (Bauru),,1516-7313,,https://www.redalyc.org/articulo.oa?id=251046221010,431-449,2,22,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0571,Journal Article,2011,"Soares, Denise; Gutiérrez, Isabel","Vulnerabilidad social, institucionalidad y percepciones sobre el cambio climático: un acercamiento al municipio de San Felipe, Costa de Yucatán",es,,,climate change; cambio climático; municipality of San Felipe.; municipio de San Felipe.; Social vulnerability; Vulnerabilidad social,,"Se contribuye al avance de la discusión sobre vulnerabilidad social frente al cambio climático y a la par se presenta un estudio de caso sobre percepciones acerca de la vulnerabilidad social en el municipio de San Felipe, en la costa de Yucatán, Méx., a fin de conocer, de modo contextualizado y empírico, las distintas expresiones de vulnerabilidad social que padecen los también distintos actores sociales locales. Los resultados encontrados revelan que la idea general sobre el cambio climático lo asocian principalmente al cambio de la temperatura, que un elevado porcentaje de personas jamás ha recibido capacitación sobre cambio climático y que los actores locales apuntan a los programas de empleo temporal como su principal medida de adaptación. Los resultados son preocupantes, dado que expresan un desconocimiento sobre el tema y la carencia de estrategias encaminadas a reducir la vulnerabilidad a largo plazo. In this work we contribute to the progress of the discussion about social vulnerability to climate change and also present a case study on perceptions of social vulnerability in the municipality of San Felipe, on the coast of Yucatan, Mexico, in order to know, in a contextualized and empirical manner, the different expressions of social vulnerability faced by different local social actors. The results show that the general idea of climate change ismainly associated with temperature change, that a high percentage of people have never received training on climate change and local actors point to the temporary employment programs as their primary measure of adaptation. The results are worrying, since they express a lack of knowledge on the subject and the lack of strategies to reduce vulnerability in the long term.","CIENCIA ergo-sum, Revista Científica Multidisciplinaria de Prospectiva",,1405-0269,,https://www.redalyc.org/articulo.oa?id=10420073006,249-263,3,18,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0572,Journal Article,2001,"López Noguero, Fernando",Los medios de comunicación en la educación social: el uso de la radio,es,,,,,"Los continuos cambios sociales requieren constantes replanteamientos del papel de la educación en la sociedad contemporánea. El autor de este trabajo apuesta plenamente por la necesidad de buscar nuevas concepciones de lo educativo desde el enfoque de la educación permanente y la educación social, incidiendo en la importancia que un medio de comunicación, como es la radio, puede desempeñar en contextos educativos no formales.",Comunicar,,1134-3478,,https://www.redalyc.org/articulo.oa?id=15801620,141-148,16,,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0573,Journal Article,2020,"Barrera-Hernández, Laura Fernanda; Murillo-Parra, Luisa Dolores; Ocaña-Zúñiga, Jesús; Cabrera-Méndez, Martín; Echeverría-Castro, Sonia Beatriz; Sotelo-Castillo, Mirsha Alicia","Causas, consecuencias y qué hacer frente al cambio climático: análisis de grupos focales con estudiantes y profesores universitarios",es,,,Cambio climático; Climate change; estudiantes; students; concepciones; conceptions; discussion groups.; grupos de discusión.; profesores; professors,,"El cambio climático es uno de los grandes desafíos que enfrenta la humanidad. Investigaciones previas permiten identificar que no existe una comprensión integral de las opiniones sobre este fenómeno. Esta investigación, de corte cualitativo, tuvo por objetivo profundizar en la percepción acerca del cambio climático de estudiantes y profesores universitarios. Se encontró que los participantes lo perciben como real y preocupante; sus causas se asociaron al egoísmo, acciones humanas, capitalismo, consumismo, sobrepoblación, contaminación, falta de educación, corrupción, poco presupuesto público y sanciones para industrias; como consecuencias se identificaron impactos ambientales y enfermedades, cambios de comportamiento y estado de ánimo, respecto de acciones, indicaron que es necesario tomar conciencia, educar y sensibilizar, crear espacios de reflexión, difundir información sobre sustentabilidad y cuidado del medio ambiente. Climate change is one of the greatest challenges facing humanity. Previous studies of opinions related to climate change point to an absence of integrated comprehension. The current study, of a qualitative nature, found that university students and professors perceive climate change as real and worrisome. They associate the causes of climate change with egotism, human actions, capitalism, consumerism, overpopulation, pollution, lack of education, corruption, low public spending, and sanctions for industry; as consequences, they identify environmental impact and disease, and changes in behavior and mood; with respect to actions, they indicate the need to create awareness, to educate and sensitize, to create spaces for reflection, and to spread information about sustainability and environmental protection.",Revista Mexicana de Investigación Educativa,,1405-6666,,https://www.redalyc.org/articulo.oa?id=14065615012,1103-1122,87,25,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0574,Journal Article,2019,"Cayul Marihuan, Oscar Samuel; Quilaqueo Rapimán, Daniel",Cambio climático en Lonquimay: conocimiento científico y conocimiento local Mapuche-Pehuenche,es,,,climate change; cambio climático; comunidades de Lonquimay.; Conocimiento científico y mapuche; Lonquimay communities.; Scientific and Mapuche knowledge,,"El presente artículo busca comprender los efectos del cambio climático y su relación con el agua, desde el conocimiento científico y el conocimiento de comunidades mapuche-pehuenche de la comuna de Lonquimay, región de La Araucanía, Chile. El marco teórico considera las normativas de los Estados nacionales y la teoría de las representaciones sociales. Asimismo, considera la perspectiva mapuche con los conceptos de memoria social y relación con el saber. El enfoque metodológico es cualitativo con una muestra intencional de habitantes de tres comunidades. Los resultados reafirman la existencia del concepto küme mogen    1    , en el marco del itrofill mogen   2  , como conocimiento local no considerado en el desarrollo de estrategias para la adaptación de los efectos del cambio climático y la disponibilidad de agua. También, revela la idea de un trabajo integrado entre la ciencia, la política y la sociedad civil para el beneficio de los habitantes de comunidades. This article seeks to understand the ef-fects of climate change and their relation to water from scientific knowledge and knowledge of the Mapuche-Pehuenche communities from Lonquimay commune, La Araucanía region, Chile. The theoretical framework considers the regulations of national states and the theory of social representations. Also, it considers the Mapuche perspective with the concepts of social memory and relationship with knowledge. This study applies a qualita-tive methodological approach, with an intentional sample of inhabitants of three communities. The results reaffirm the existence of the concept küme mogen, within the framework of itrofill mogen, as a local knowledge not considered in the development of strategies for the adapta-tion of the effects of climate change and water availability. It also reveals the idea of an integrated work between science, politics and civil society for the benefit of the communities’ inhabitants.",Revista Austral de Ciencias Sociales,,0717-3202,,https://www.redalyc.org/articulo.oa?id=45963879007,123-138,37,,,,,,Redalyc,,,/Users/juliabelden/Zotero/storage/FMVMJD6H/Cayul Marihuan and Quilaqueo Rapimán - 2019 - Cambio climático en Lonquimay conocimiento científico y conocimiento local Mapuche-Pehuenche.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0575,Journal Article,2016,"Pavez-Soto, Iskra; León-Valdebenito, Carolina; Triadú-Figueras, Verónica",Jóvenes universitarios y medio ambiente en Chile: Percepciones y comportamientos,es,,,environment; meio ambiente; medio ambiente natural; Jóvenes universitarios; Jovens; percepção (Thesaurus de Ciências Sociais da Unesco).; percepción (Tesauro de Ciencias Sociales de la Unesco).; perception (Unesco Social Sciences Thesaurus).; Young,,"La preocupación por el medio ambiente en Chile aumentó durante los últimos años entre las y los jóvenes universitarios, un actor social clave con capacidad de influir en el debate público. En este artículo analizamos los resultados de una encuesta realizada a jóvenes universitarios de Santiago sobre sus percepciones, actitudes, conocimientos y comportamientos proambientales. Se concluye que el 76% de las y los jóvenes universitarios tiene una negativa percepción del medio ambiente urbano debido a la contaminación atmosférica. También que los espacios públicos están contaminados y degradados en los sectores más excluidos. Aunque existe una actitud de preocupación, una demanda por educación ambiental y un alto conocimiento de temas ambientales, solo un 23% de jóvenes universitarios ha realizado comportamientos proambientales como actividades de incidencia política, reciclaje y sensibilización. Concern about the environment in Chile has increased during recent years among university students, a key social actor that has the ability to influence public debate. This survey analyses the perceptions, attitudes, knowledge and pro-environmental behaviour of a group of university students from Santiago. We concluded that 76% of the university students that participated in the study have a negative perception of urban environment due to air pollution. Also we found that the public spaces have been polluted and degraded around socially excluded areas. In spite of attitudes concern, environmental education demands and strong environmental knowledge, only 23% of university students have developed pro-environmental behaviour such as political advocacy, recycling or awareness activities. A preocupação pelo meio ambiente no Chile cresceu durante os últimos anos entre os/as jovens universitários/as, que são atores sociais chave com capacidade de influenciar o debate público. Neste artigo, são analisados os resultados de uma pesquisa realizada com jovens universitários da cidade de Santiago sobre as suas percepções, atitudes, conhecimentos e comportamentos pró-ambientais. Conclui-se que 76% de os/as jovens universitários/as têm uma percepção negativa do meio ambiente urbano, devido à alta poluição do ar e por os espaços públicos estarem contaminados e degradados nos setores mais excluídos. Identifica-se que, apesar de haver uma atitude de preocupação, de demanda por uma educação ambiental e de um alto conhecimento de temas ambientais, somente 23% dos/das jovens universitários/as desenvolvem comportamentos pró-ambientais como atividades de incidência política, reciclagem e sensibilização.","Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud",,1692-715X,,https://www.redalyc.org/articulo.oa?id=77346456038,1435-1449,2,14,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0576,Journal Article,2022,"Bravo, Gabriel Prosser; Zúñiga, Camilo Caro; Arboleda-Ariza, Juan Carlos",Retóricas de la acción climática desde el Sur: análisis de los discursos de los tomadores de decisiones de la COP25,es,,,ação climática; acción climática; action climatique; Climate action; COP25; décideurs; decision makers.; Retórica; Retóricas; Rhetoric; rhétorique; tomadores de decisão.; tomadores de decisiones.,,"Las Conferencias de las Partes funcionan como plataformas transnacionales para planear e implementar mecanismos para la acción climática. El objetivo del presente artículo es analizar los discursos del Sur Global en la COP25, con el fin de develar las retóricas ambientales de los tomadores de decisiones. Para esto, se realizó un análisis de contenido temático a 60 declaraciones del alto segmento de la COP25. Así, se identificaron tres retóricas sobre la acción climática: urgente, ética y cooperativa, y dos retóricas sobre el régimen climático: la responsabilidad histórica del Norte y la vulnerabilidad como condición que dificulta la acción climática del Sur. Se concluye que en los discursos prevalece una retórica hegemónica de la inacción climática centrada en los tomadores de decisiones, incapaz de implicar a otros actores y reproductora de las lógicas actuales del régimen climático. As Conferências das Partes funcionam como plataformas transnacionais para planejar e implementar mecanismos de ação climática. O objetivo deste artigo é analisar os discursos do Sul Global no contexto da COP25, a fim de desvendar a retórica ambiental dos tomadores de decisão. Para isso, foi realizada uma análise de conteúdo temática em 60 declarações feitas no alto segmento da COP25. Assim, foi possível identificar três retóricas sobre a ação climática: urgente; ética; cooperativa e duas retóricas sobre o regime climático do Sul: a responsabilidade histórica do Norte e a vulnerabilidade como condição que dificulta a ação climática do Sul. Conclui-se que, nos discursos das partes, prevalece uma retórica hegemônica da inação climática, focada em tomadores de decisão, incapaz de envolver outros atores; e reprodutora da lógica atual do regime climático. The Conferences of the Parties function as transnational platforms to plan and implement mechanisms for climate action. The objective of this article is to analyze the discourses of the Global South in the context of COP 25, to unveil the environmental rhetoric of decision makers. For this, thematic content analysis was carried out on 60 statements of the high segment of COP25. It was possible to identify three rhetorics about climate action: urgent; ethical; cooperative, and two rhetorics about the climate regime from the South: the historical responsibility of the North and vulnerability as a condition that hinders climate action from the South. It is concluded that within the parties' discourses, a hegemonic rhetoric of climate inaction prevails, one which is focused on decision makers, is unable to implicate other actors, and reproduces the current logic of the climate regime. Les Conférences des Parties fonctionnent comme des plates-formes transnationales pour planifier et mettre en ½uvre des mécanismes d'action climatique. L'objectif de ce article est d'analyser les discours des pays du Sud dans le cadre de la COP25, afin de dévoiler la rhétorique environnementale des décideurs. Pour cela, une analyse de contenu thématique a été réalisée sur 60 déclarations faites dans du segment haut de la COP25. Il a été possible d'identifier trois rhétoriques sur l'action climatique: urgent; éthique; coopérative, et deux rhétoriques sur le régime climatique du sud: la responsabilité historique du nord et la vulnérabilité comme condition qui entrave l'action climatique du sud. On en conclut que dans les discours des parties, prévaut une rhétorique hégémonique de l'inaction climatique, centrée sur des décideurs incapables d'impliquer d'autres acteurs; et reproductrice des logiques actuelles du régime climatique.",Opinião Pública,,0104-6276,,https://www.redalyc.org/articulo.oa?id=32972850002,321-356,2,28,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0577,Journal Article,2016,"BELLO BENAVIDES, LAURA ODILA; ALATORRE FRENK, GERARDO; GONZÁLEZ-GAUDIANO, ÉDGAR J.",Representaciones Sociales sobre Cambio Climático. Un Acercamiento a sus Procesos de Construcción,es,,,Cambio climático; Climate change; Educación ambiental; Environmental education; Representaciones sociales; Social representations; Bachillerato.; High school.,,"El artículo expone los hallazgos de una investigación acerca de las representaciones sociales (RS) sobre cambio climático (CC) de estudiantes de bachillerato tecnológico, realizada  en  dos  escuelas  del  estado  de  Veracruz, México, entre 2014 y 2015. El propósito fue analizar los procesos que las conforman y formular una tipología acerca de éstas. La metodología  fue  de  corte  cualitativo  con  técnicas mixtas,  y  enfoque  procesual.  Los  hallazgos revelan  la  construcción  de  diversos  tipos  de RS  de  los  estudiantes.  En  la  mayoría  de  los casos reconocen la influencia antrópica en el CC y las afectaciones en el medio natural. The  article  presents  the  results  of  an investigation about social representations (SR) about climate change (CC) of technical high school students, carried out in two schools in Veracruz,  Mexico,  between  2014  and  2015. The purpose was to analyze the processes that form SR and formulate a typology about them. The methodology was qualitative with mixed techniques,  from  a  procedural  angle.  The results reveal the construction of various types of SR in students. In most cases they recognize the  anthropogenic  influence  on  the  CC  and the effects on the environment.",Trayectorias,,2007-1205,,https://www.redalyc.org/articulo.oa?id=60746482004,73-92,43,18,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0578,Journal Article,2013,"Torres, Blanca",EL ACTIVISMO EN MATERIA DE CAMBIO CLIMÁTICO EN LA BÚSQUEDA DEL REPOSICIONAMIENTO INTERNACIONAL DE MÉXICO,es,,,Climate change; Kyoto Protocol; cmnucc; common but differentiated responsibilities; COP16-18.; distributive justice,,"Mexican leadership on climate change in international forums during the Calderón administration, which coincided with a cycle of international negotiations on the issue (from Bali to Doha), is part of a strategy to further Mexican involvement in efforts to create an international system based on universal compliance. This issue is one of importance in the multilateral field, and reflects a number of domestic factors (mitigation capabilities, energy endowment, economic structure and ecological vulnerability) and general foreign policy interests. Mexico was not wholly successful in its objective to form a bridge between countries with distinct interests and positions, but its leadership helped it to maintain a key position at the negotiating table.",Foro Internacional,,0185-013X,,https://www.redalyc.org/articulo.oa?id=59931907017,897-932,3-4,LIII,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0579,Journal Article,2023,"Nieto-Sandoval, Alejandra G.; Ferré-Pavia, Carme",TikTok y cambio climático: comunicar sin fuentes ni soluciones,es,,,Cambio climático; Climate change; social networks; redes sociales; influencers; Climate Summit; Cumbre Climática; fuentes de información; information sources; TikTok.,,"El presente artículo presenta un estudio exploratorio de la comunicación1 sobre el cambio climático (CC) en la red social TikTok durante la Cumbre Climática de 2021 (Glasgow, 1-12 noviembre 2021), considerada como la última oportunidad para frenar el avance del CC. Para ello, se han examinado mediante análisis de contenido los 100 vídeos con mayor número de visualizaciones durante esta celebración. Los resultados han mostrado un nuevo escenario comunicativo en el que los influencers son los actores que mayor número de vídeos publican sobre el CC. Los medios de comunicación continúan siendo un actor fundamental en la comunicación del CC y otorgan continuidad y relevancia al asunto. Otro resultado remarcable es una alarmante situación: la mayoría de los vídeos no citan ningún tipo de fuente de información. Los casos en los que se refieren fuentes son principalmente medios de comunicación que, a su vez, no informan del origen de los datos trasmitidos. Se puede concluir que la mayoría de los usuarios en TikTok de la muestra analizada aceptan el CC como un hecho verídico, sin embargo, no plantean situaciones de cambio, siendo meros sujetos pasivos. This article reports an exploratory study of climate change (CC) communication on the social network TikTok during the 2021Climate Summit (Glasgow, 1-12 November 2021), considered to be the last chance to halt the advance of CC. For this purpose, the 100 videos with the highest number of views during this event were examined by means of content analysis. The results have shown a new communication scenario in which influencers are the actors with the highest number of videos published in relation to CC. The media continue to be a fundamental actor in the communication of the CC and give continuity and relevance to the issue. Another remarkable result is an alarming situation: most of the videos do not cite any kind of source of information. The cases in which sources are mentioned are mainly media outlets which, in turn, do not report the origin of the data transmitted. It can be concluded that the majority of TikTok users in the sample analyzed accept CC as a fact, however, they do not raise situations of change, being mere passive subjects.",Revista de Comunicación,,1684-0933,,https://www.redalyc.org/articulo.oa?id=589475109016,309-331,1,22,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0580,Journal Article,2009,"de Haro de San Mateo, Mª Verónica",UN EJEMPLO DE REALIDAD FRAGMENTADA: LA INFORMACIÓN TAURINA EN LOS MEDIOS DE COMUNICACIÓN ESPAÑOLES,es,,,Blogs; Bullfighting information; Discurso.; Fragmented reality; Información Taurina; Postmodernidad; Postmodernity; Prensa especializada; Realidad fragmentada; Specializing press; Speech.,,"Actualmente, el principal problema de la información taurina en nuestro país radica en la fragmentaria atención que los medios tradicionales dedican a la Fiesta. En este trabajo se pone de relieve la falta de regularidad en la cobertura informativa de la realidad del mundo de los toros en la prensa, la radio o la televisión y se apunta cómo esta circunstancia ha obligado a los aficionados a acudir a la prensa especializada, los portales de Internet o los cada vez más numerosos y mejor documentados blogs taurinos, soportes que han sabido adaptar su discurso al contexto informativo postmoderno actual. Currently, the main problem of the bullfighting information in our country lies in the fragmented traditional media attention devoted to the Fiesta. This paper highlights the lack of regularity in the coverage of the world of bulls in the press, the radio or the television and points out how this circumstance has forced fans to come to the specializing press, the portals or the ever more numerous and better documented bullfighting blogs, media that have learned to adapt his speech to the current postmodern context for information.",Vivat Academia,,,,https://www.redalyc.org/articulo.oa?id=525753045001,44-62,109,,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0581,Journal Article,2005,"Moura, Dione","El Ingreso de la 'Comunicación de Riesgo' en los Media Globales: la Creación de una Agenda sobre ""Lo que Observar""",es,,,,,,Razón y Palabra,,,,https://www.redalyc.org/articulo.oa?id=199520626006,,43,,,,,,Redalyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
